DateStamp,Region,Price,Demand
2023-08-08 22:20:00,TAS1,54.3,1265.53
2023-08-08 22:20:00,SA1,119.71046,1744.48
2023-08-08 22:20:00,QLD1,121.02756,6398.97
2023-08-08 22:20:00,NSW1,116.99,9033.61
2023-08-08 22:25:00,NSW1,116.99,9051.76
2023-08-08 22:25:00,QLD1,122.59458,6429.09
2023-08-08 22:25:00,SA1,115.51241,1726.09
2023-08-08 22:25:00,TAS1,54.3,1270.28
2023-08-08 22:25:00,VIC1,108.60149,5616.64
2023-08-08 22:30:00,TAS1,54.3,1258.6
2023-08-08 22:30:00,SA1,85.95204,1696.82
2023-08-08 22:30:00,VIC1,81.21345,5562.07
2023-08-08 22:30:00,NSW1,88.88,8951.35
2023-08-08 22:30:00,QLD1,94.1867,6369.49
2023-08-08 22:35:00,NSW1,72.14292,8871.88
2023-08-08 22:35:00,QLD1,76.31654,6284.13
2023-08-08 22:35:00,SA1,66.69432,1684.4
2023-08-08 22:35:00,TAS1,54.3,1256.78
2023-08-08 22:35:00,VIC1,63.81958,5419.84
2023-08-08 22:40:00,VIC1,59.06319,5365.39
2023-08-08 22:40:00,TAS1,53.8179,1251.57
2023-08-08 22:40:00,SA1,60.62941,1668.75
2023-08-08 22:40:00,QLD1,71.76058,6226.02
2023-08-08 22:40:00,NSW1,67.90461,8849.89
2023-08-08 22:45:00,NSW1,62.38624,8588.7
2023-08-08 22:45:00,QLD1,65.76,6207.39
2023-08-08 22:45:00,SA1,55.4218,1654.07
2023-08-08 22:45:00,TAS1,51.25204,1243.21
2023-08-08 22:45:00,VIC1,54.97,5336.23
2023-08-08 22:50:00,TAS1,50.73131,1220.06
2023-08-08 22:50:00,SA1,54.47307,1658.7
2023-08-08 22:50:00,VIC1,54.97,5283.41
2023-08-08 22:50:00,NSW1,63.28043,8688.48
2023-08-08 22:50:00,QLD1,66.3247,6182.61
2023-08-08 22:55:00,NSW1,63.27453,8633.41
2023-08-08 22:55:00,QLD1,65.83497,6167.43
2023-08-08 22:55:00,SA1,53.63278,1632.22
2023-08-08 22:55:00,TAS1,50.72788,1208.36
2023-08-08 22:55:00,VIC1,54.97,5329.24
2023-08-08 23:00:00,TAS1,50.34175,1211.42
2023-08-08 23:00:00,SA1,53.07868,1630.73
2023-08-08 23:00:00,VIC1,54.97,5321.93
2023-08-08 23:00:00,NSW1,63.67633,8623.12
2023-08-08 23:00:00,QLD1,65.76,6092.98
2023-08-08 23:05:00,NSW1,63.8121,8544.53
2023-08-08 23:05:00,QLD1,65.76,6014.59
2023-08-08 23:05:00,SA1,52.53026,1607.0
2023-08-08 23:05:00,TAS1,50.59851,1206.47
2023-08-08 23:05:00,VIC1,54.97,5324.29
