REGIONID,21-Nov-24,22-Nov-24,23-Nov-24,24-Nov-24,25-Nov-24,26-Nov-24,27-Nov-24
NSW1,2813,1853,2058,1273,126,-159,1735
QLD1,2488,2912,3147,2758,1464,763,1846
SA1,1175,1150,1429,1447,1395,1820,1691
TAS1,786,887,971,966,1033,1066,1304
VIC1,2519,2326,2704,3506,3626,3817,3872
