DateStamp,Region,Demand,Price
2024-11-30 01:35:00,QLD1,6316.48000,147.51743
2024-11-30 01:35:00,NSW1,6727.51000,148.00000
2024-11-30 01:35:00,TAS1,895.56000,121.26077
2024-11-30 01:40:00,TAS1,899.98000,121.11000
2024-11-30 01:40:00,SA1,1316.69000,138.00000
2024-11-30 01:40:00,QLD1,6243.11000,144.85946
2024-11-30 01:40:00,NSW1,6628.33000,147.28972
2024-11-30 01:40:00,VIC1,4157.26000,134.61030
2024-11-30 01:45:00,VIC1,4136.83000,135.16222
2024-11-30 01:45:00,SA1,1308.17000,138.04000
2024-11-30 01:45:00,QLD1,6290.31000,145.79477
2024-11-30 01:45:00,NSW1,6659.94000,148.00000
2024-11-30 01:45:00,TAS1,923.74000,122.21445
2024-11-30 01:50:00,TAS1,927.48000,121.05914
2024-11-30 01:50:00,VIC1,4104.58000,133.55003
2024-11-30 01:50:00,NSW1,6602.92000,145.17335
2024-11-30 01:50:00,QLD1,6224.48000,141.92445
2024-11-30 01:50:00,SA1,1275.66000,138.00000
2024-11-30 01:55:00,QLD1,6234.46000,132.02896
2024-11-30 01:55:00,NSW1,6602.58000,135.06033
2024-11-30 01:55:00,SA1,1294.61000,137.43696
2024-11-30 01:55:00,TAS1,929.98000,120.19000
2024-11-30 01:55:00,VIC1,4047.39000,129.26945
2024-11-30 02:00:00,QLD1,6199.00000,116.00000
2024-11-30 02:00:00,SA1,1295.58000,125.05921
2024-11-30 02:00:00,VIC1,4024.06000,116.42950
2024-11-30 02:00:00,TAS1,913.03000,109.66002
2024-11-30 02:00:00,NSW1,6524.09000,119.71198
2024-11-30 02:05:00,QLD1,6172.81000,130.27593
2024-11-30 02:05:00,NSW1,6506.45000,134.54366
2024-11-30 02:05:00,VIC1,4086.95000,129.85911
2024-11-30 02:05:00,TAS1,905.36000,120.19000
2024-11-30 02:05:00,SA1,1299.70000,138.04000
2024-11-30 02:10:00,TAS1,900.89000,120.19000
2024-11-30 02:10:00,QLD1,6198.11000,128.47467
2024-11-30 02:10:00,NSW1,6503.57000,134.25482
2024-11-30 02:10:00,VIC1,4094.28000,128.56293
2024-11-30 02:10:00,SA1,1300.75000,138.04000
2024-11-30 02:15:00,NSW1,6513.86000,133.33215
2024-11-30 02:15:00,QLD1,6183.94000,126.78775
2024-11-30 02:15:00,TAS1,910.48000,119.90796
2024-11-30 02:15:00,VIC1,4027.96000,127.64052
2024-11-30 02:15:00,SA1,1290.15000,138.04000
2024-11-30 02:20:00,VIC1,4094.42000,131.64947
2024-11-30 02:20:00,TAS1,900.78000,120.24000
2024-11-30 02:20:00,NSW1,6504.04000,139.72086
2024-11-30 02:20:00,SA1,1287.75000,140.70852
2024-11-30 02:20:00,QLD1,6227.36000,133.00000
2024-11-30 02:25:00,NSW1,6459.59000,136.59219
2024-11-30 02:25:00,TAS1,903.39000,120.19000
2024-11-30 02:25:00,SA1,1268.78000,138.04000
2024-11-30 02:25:00,VIC1,4086.14000,129.60163
2024-11-30 02:25:00,QLD1,6203.09000,129.88446
2024-11-30 02:30:00,TAS1,915.91000,120.19000
2024-11-30 02:30:00,SA1,1264.36000,138.04000
2024-11-30 02:30:00,QLD1,6209.05000,127.02976
2024-11-30 02:30:00,NSW1,6400.82000,133.65289
2024-11-30 02:30:00,VIC1,4064.72000,128.77453
2024-11-30 02:35:00,NSW1,6385.67000,134.52273
2024-11-30 02:35:00,QLD1,6218.99000,128.64599
2024-11-30 02:35:00,VIC1,4072.33000,129.63206
2024-11-30 02:35:00,TAS1,913.32000,121.77900
2024-11-30 02:35:00,SA1,1267.85000,138.04000
2024-11-30 02:40:00,TAS1,905.11000,120.22539
2024-11-30 02:40:00,VIC1,4017.53000,127.97840
2024-11-30 02:40:00,QLD1,6211.39000,129.27927
2024-11-30 02:40:00,SA1,1233.40000,138.00000
2024-11-30 02:40:00,NSW1,6436.73000,135.16067
2024-11-30 02:45:00,VIC1,4012.43000,126.98997
2024-11-30 02:45:00,TAS1,903.57000,120.19000
2024-11-30 02:45:00,NSW1,6417.61000,132.96779
2024-11-30 02:45:00,SA1,1242.35000,137.49237
2024-11-30 02:45:00,QLD1,6195.03000,127.11625
2024-11-30 02:50:00,SA1,1235.30000,138.04000
2024-11-30 02:50:00,TAS1,903.91000,122.44547
2024-11-30 02:50:00,QLD1,6190.18000,131.92877
2024-11-30 02:50:00,NSW1,6459.10000,137.95644
