REGIONID,21-Nov-24,22-Nov-24,23-Nov-24,24-Nov-24,25-Nov-24,26-Nov-24,27-Nov-24
NSW1,8135,8501,8512,9451,10851,10817,7544
QLD1,7541,7351,7076,7332,7770,7955,5932
SA1,2140,2423,1788,1647,1749,1651,1396
TAS1,1203,1236,1229,1207,1208,1217,1028
VIC1,6287,7686,7397,6034,5835,5444,4386
