DateStamp,Region,Demand,Price
2024-11-16 01:35:00,NSW1,6248.41000,76.00020
2024-11-16 01:35:00,TAS1,1000.47000,34.66407
2024-11-16 01:35:00,VIC1,3934.62000,12.00000
2024-11-16 01:35:00,SA1,1435.53000,11.31613
2024-11-16 01:40:00,NSW1,6252.31000,76.00037
2024-11-16 01:40:00,QLD1,5851.79000,146.01000
2024-11-16 01:40:00,VIC1,3886.06000,0.22000
2024-11-16 01:40:00,TAS1,1012.11000,34.66407
2024-11-16 01:40:00,SA1,1395.62000,0.20584
2024-11-16 01:45:00,TAS1,1013.09000,34.66407
2024-11-16 01:45:00,VIC1,3851.65000,0.22000
2024-11-16 01:45:00,NSW1,6193.21000,76.00020
2024-11-16 01:45:00,QLD1,5797.07000,99.75000
2024-11-16 01:45:00,SA1,1411.63000,0.20749
2024-11-16 01:50:00,TAS1,1010.13000,34.66407
2024-11-16 01:50:00,SA1,1401.06000,0.20732
2024-11-16 01:50:00,NSW1,6220.65000,78.98968
2024-11-16 01:50:00,VIC1,3827.65000,0.22000
2024-11-16 01:50:00,QLD1,5715.50000,99.75000
2024-11-16 01:55:00,QLD1,5711.43000,110.83012
2024-11-16 01:55:00,VIC1,3788.76000,0.22000
2024-11-16 01:55:00,NSW1,6181.66000,75.80007
2024-11-16 01:55:00,TAS1,1009.19000,34.66407
2024-11-16 01:55:00,SA1,1409.87000,0.20688
2024-11-16 02:00:00,VIC1,3776.53000,0.22000
2024-11-16 02:00:00,NSW1,6134.44000,75.80007
2024-11-16 02:00:00,TAS1,1008.11000,34.16813
2024-11-16 02:00:00,SA1,1401.02000,0.20599
2024-11-16 02:00:00,QLD1,5688.82000,110.83012
2024-11-16 02:05:00,SA1,1402.49000,8.37964
2024-11-16 02:05:00,QLD1,5640.91000,99.75000
2024-11-16 02:05:00,NSW1,6145.86000,76.00002
2024-11-16 02:05:00,TAS1,1014.67000,11.06000
2024-11-16 02:05:00,VIC1,3819.29000,8.95000
2024-11-16 02:10:00,NSW1,6053.77000,75.80007
2024-11-16 02:10:00,VIC1,3759.52000,0.21000
2024-11-16 02:10:00,QLD1,5672.99000,110.83012
2024-11-16 02:10:00,SA1,1393.16000,0.19594
2024-11-16 02:10:00,TAS1,1011.02000,11.06000
2024-11-16 02:15:00,QLD1,5671.69000,122.95000
2024-11-16 02:15:00,NSW1,6013.58000,70.00000
2024-11-16 02:15:00,TAS1,1008.97000,11.06000
2024-11-16 02:15:00,VIC1,3749.07000,0.21000
2024-11-16 02:15:00,SA1,1371.15000,0.19439
2024-11-16 02:20:00,VIC1,3765.22000,0.22000
2024-11-16 02:20:00,TAS1,1011.44000,11.06000
2024-11-16 02:20:00,NSW1,6092.59000,76.00002
