DUID,REGION
BULBESG1,VIC
STAPYLTON1,QLD
LONGFORD,VIC
VPGS3,VIC
AGLSOM,VIC
ANGAS2,SA
TUMUT3-6,NSW
CATA_2,TAS
HPRG1,SA
TATIARA1,SA
DRACAV1,VIC
URANQ14,NSW
TUMUT1-2,SNOWY
RT_NSW6,NSW
WOODLWN1,NSW
BAKING1,QLD
DPNTBL1,NSW
HAMISF1,QLD
BDONGHYD,NSW
FSWF1,VIC
WGULLY,NSW
TUMUT1-1,NSW
MIDLDPS1,TAS
PLAYB-AG,SA
VPGS1,VIC
GSWF1B1,SA
MSTUART3,QLD
DAYDSF1,QLD
JLB01,VIC
MOR1,VIC
MURR1-3,SNOWY
SHGEN,NSW
VBBG1,VIC
MANSLR1,NSW
BBTHREE3,TAS
BHB1,NSW
GLADNL1,QLD
YWNGAHYD,VIC
TGNSS1,VIC
DRXNDA01,NSW
MINTARO,SA
CLUNY,TAS
MWPS1PV1,SA
ADPBA1L,SA
NPS,VIC
DULAWF1,QLD
BANN1,VIC
MARYRSF1,QLD
HILLSTN1,NSW
RT_VIC12,VIC
MTGELWF1,VIC
MURAYNL3,VIC
REPULSE,TAS
SNOWY6,NSW
DRXVDX01,VIC
MEWF1,QLD
VENUS1,VIC
TUMUT1-1,SNOWY
UPPTUMUT,NSW
CAPBES1G,NSW
GROSV1,QLD
TUMUT2-2,SNOWY
ROMA_7,QLD
MURR1-4,SNOWY
TARONG#2,QLD
RESS1L,NSW
BOCORWF1,NSW
BRAEMAR1,QLD
REECE2,TAS
CALL_B_2,QLD
HLMSEW01,VIC
HWPS3,VIC
RT_NSW5,NSW
SNOWY3,SNOWY
BODWF1,NSW
MPNL1,NSW
ERG_AS,QLD
SUNCOAST,QLD
GULLRSF1,NSW
ANGAS1,SA
BRAEMAR3,QLD
MSTUART2,QLD
GNNDHSF1,NSW
SWAN_A_5,QLD
HALAMRD1,VIC
MULGRAVE,QLD
KAREEYA4,QLD
LD01,NSW
TB2BG1,SA
TBLD,QLD
LIMOSF11,NSW
MBAHNTH,QLD
ASRMGE02,SA
PINDARI,NSW
DG_VIC1,VIC
SNOWY5,SNOWY
WYASF1,NSW
WDBESSL1,QLD
WDGPH1,QLD
LBBL1,SA
ER03,NSW
WELLSF1,NSW
HALLWF2,SA
CLOVER,VIC
EDENVSF1,QLD
TERMSTOR,SA
LUCAS2S2,NSW
TUMUT3-1,SNOWY
DRAESN3,NSW
TORRB3,SA
KIAMSF1,VIC
JBUTTERS,TAS
KIATAWF1,VIC
PAREPW1,SA
SWAN_A_2,QLD
MACARTH1,VIC
TUMUT2-1,SNOWY
BRAEMAR7,QLD
POAT110,TAS
HPRL1,SA
LEMONTME,TAS
POR01,SA
BOWWBA1L,SA
GSTONE4,QLD
LADBROK1,SA
SNOWYP,SNOWY
ROCHEDAL,QLD
DRHTVP01,NSW
MIDDLSF1,QLD
MWPS3PV1,SA
TUMUT3,SNOWY
BAPS,VIC
CONDONG1,NSW
TREV_4,TAS
BARKIPS1,SA
REDBANK1,NSW
POATINA2,TAS
WESTILL1,NSW
ROMA_8,QLD
SWAN_E,QLD
BBTHREE1,TAS
