duid,outage_start,outage_end,current_status,mw_5min_prev,actual_mw,target_mw,max_ramp_rate,registeredcapacity,bidofferdate,bidsettlementdate,rebidexplanation,rebid_category,os_pasaavail,os_pasaunitstate,latest_pasaavail,latest_pasaunitstate,expected_return,latest_offer_datetime
BW01,2025-04-01 22:05:00,,ONGOING,67.20073,0.00000,57.19844,140,660.0000,2025-04-01 21:39:31,2025-04-01,010 Unexpected/plant limits~108 load/ramp variation during shutdown,P,660,NODERATINGS,660,NODERATINGS,2025-04-11,2025-04-01 09:16:47
CPP_4,2025-04-02 11:20:00,2025-04-02 12:50:00,RETURNING,79.47500,0.00000,0.00000,94,420.0000,2025-04-02 11:02:16,2025-04-02,Testing - Commissioning - SL,P,466,NODERATINGS,466,NODERATINGS,,
GSTONE1,2025-04-01 02:15:00,,ONGOING,7.00684,0.00000,2.00684,57,280.0000,2025-04-01 01:57:06,2025-03-31,Unit commitment-Unit Offline revised-SL,P,150,DERATINGUNPLANFORCED,150,DERATINGUNPLANFORCED,2025-04-06,2025-04-03 08:56:27
LYA1,2025-03-16 11:05:00,2025-04-02 00:55:00,RETURNING,106.00000,0.00000,96.00000,118,560.0000,2025-03-15 23:19:06,2025-03-16,010 Unexpected/plant limits~108 load/ramp variation during COS,P,0,OUTAGEPLANBASIC,560,NODERATINGS,,
MP1,2025-04-01 06:10:00,,ONGOING,171.52362,0.00000,166.52362,25,730.0000,2025-04-01 06:03:41,2025-04-01,"Adj avail/PASA/ROC - revised RFS profile, ROC=1 for RFS req SL",,0,OUTAGEPLANBASIC,0,OUTAGEPLANBASIC,2025-05-26,2025-03-20 13:24:17
YWPS2,2025-03-20 21:05:00,,ONGOING,20.75000,0.50000,5.75000,79,360.0000,2025-03-20 09:22:27,2025-03-20,Band Adj due to VIC solar-avail in P5 lower than P30 HHE 10:00 125MW vs 226MW SL,,355,NODERATINGS,0,OUTAGEPLANBASIC,2025-04-06,2025-02-13 11:29:22
YWPS4,2025-03-27 12:55:00,2025-04-02 16:40:00,RETURNING,41.06250,0.00000,26.06250,81,380.0000,2025-03-27 11:37:38,2025-03-27,adj avail/PASA due to tube leak SL,,370,NODERATINGS,370,NODERATINGS,,
