REGIONID,6-Dec-24,7-Dec-24,8-Dec-24,9-Dec-24,10-Dec-24,11-Dec-24,12-Dec-24
NSW1,10833,11158,8865,9052,9415,9112,8900
QLD1,8380,8180,9096,8987,8841,8893,8835
SA1,2361,1605,1403,1592,1585,1453,1501
TAS1,1209,1195,1125,1159,1183,1177,1172
VIC1,7011,5694,4762,5210,5238,5108,5183
