REGIONID,9-Nov-24,10-Nov-24,11-Nov-24,12-Nov-24,13-Nov-24,14-Nov-24,15-Nov-24
NSW1,7719,7882,8255,8483,8865,8632,6883
QLD1,8431,8127,8260,8326,8675,8957,6240
SA1,1327,1429,1543,1507,1483,1483,1363
TAS1,1187,1251,1299,1274,1233,1212,1046
VIC1,4778,4906,5214,5487,5332,5330,4362
