planId,distributor,brandName,displayName,planType,effectiveFrom,effectiveTo,dmoPrice,annualUsage,supplyCharge,demandCharge,estimatedCharge,differenceDmoPrice
ORI539824MRE7@EME,Ausgrid,Origin Energy,Origin Solar Boost,MARKET,2023-12-20 00:00:00+00:00,,1827.0,3911,325.374,1335.2153999999998,1660.5893999999998,-166.41060000000016
ORI539813MRE7@EME,Energex,Origin Energy,Origin Solar Boost,MARKET,2023-12-20 00:00:00+00:00,,1969.0,4613,445.8246,1343.7669,1789.5915,-179.4085
ORI542320MRE7@EME,Energex,Origin Energy,Origin Go Variable,MARKET,2023-12-20 00:00:00+00:00,,1969.0,4613,401.24580000000003,1209.404049,1610.649849,-358.3501510000001
ORI542354MRE7@EME,Endeavour,Origin Energy,Origin Go Variable,MARKET,2023-12-20 00:00:00+00:00,,2228.0,4913,277.1718,1545.408715,1822.580515,-405.4194849999999
ORI660920MRE2@EME,Essential Energy,Origin Energy,Origin Go Solar Variable,MARKET,2023-12-20 00:00:00+00:00,,2527.0,4613,549.732,1563.5163810000001,2113.2483810000003,-413.75161899999966
ORI660939MRE2@EME,Endeavour,Origin Energy,Origin Go Solar Variable,MARKET,2023-12-20 00:00:00+00:00,,2228.0,4913,283.32059999999996,1579.755498,1863.076098,-364.923902
ORI660955MRE2@EME,Energex,Origin Energy,Origin Go Solar Variable,MARKET,2023-12-20 00:00:00+00:00,,1969.0,4613,410.17619999999994,1236.284,1646.4602,-322.5398
ORI665043MRE3@EME,Energex,Origin Energy,Origin Everyday Rewards Variable,MARKET,2023-12-20 00:00:00+00:00,,1969.0,4613,419.07,1263.168564,1682.238564,-286.761436
ORI676990MRE2@EME,Essential Energy,Origin Energy,Origin Advantage Variable - Residential Connections,MARKET,2023-12-20 00:00:00+00:00,,2527.0,4613,537.7638000000001,1529.5047319999999,2067.268532,-459.73146799999995
ORI665074MRE3@EME,Endeavour,Origin Energy,Origin Everyday Rewards Variable,MARKET,2023-12-20 00:00:00+00:00,,2228.0,4913,289.4694,1614.1022810000002,1903.5716810000001,-324.4283189999999
ORI676972MRE2@EME,Endeavour,Origin Energy,Origin Advantage Variable - Residential Connections,MARKET,2023-12-20 00:00:00+00:00,,2228.0,4913,277.1718,1545.408715,1822.580515,-405.4194849999999
ORI676965MRE2@EME,Energex,Origin Energy,Origin Advantage Variable - Residential Connections,MARKET,2023-12-20 00:00:00+00:00,,1969.0,4613,401.24580000000003,1209.404049,1610.649849,-358.3501510000001
ORI431324MRE8@EME,Endeavour,Origin Energy,Origin Solar Boost Plus,MARKET,2023-10-18 00:00:00+00:00,,2228.0,4913,307.9524,1717.0935000000002,2025.0459,-202.95409999999993
ORI431308MRE7@EME,Energex,Origin Energy,Origin Solar Boost Plus,MARKET,2023-10-18 00:00:00+00:00,,1969.0,4613,445.8246,1343.7669,1789.5915,-179.4085
ORI493799MRE10@EME,Endeavour,Origin Energy,Origin Advantage Variable - Rent.com.au,MARKET,2023-10-10 00:00:00+00:00,,2228.0,4913,277.1718,1545.408715,1822.580515,-405.4194849999999
ORI474175MRE8@EME,Ausgrid,Origin Energy,Origin Home Support,MARKET,2023-10-09 00:00:00+00:00,,1827.0,3911,325.374,1335.2153999999998,1660.5893999999998,-166.41060000000016
ORI431341MRE6@EME,Energex,Origin Energy,Origin Solar Boost Plus,MARKET,2023-10-09 00:00:00+00:00,,1969.0,4613,445.8246,1343.7669,1789.5915,-179.4085
ORI542320MRE6@EME,Energex,Origin Energy,Origin Go Variable,MARKET,2023-10-09 00:00:00+00:00,,1969.0,4613,401.24580000000003,1209.404049,1610.649849,-358.3501510000001
ORI429279SRE6@EME,Energex,Origin Energy,Origin Standing,STANDING,2023-10-09 00:00:00+00:00,,1969.0,4613,445.8246,1343.7669,1789.5915,-179.4085
ORI429278SRE6@EME,Ausgrid,Origin Energy,Origin Standing,STANDING,2023-10-09 00:00:00+00:00,,1827.0,3911,325.374,1335.2153999999998,1660.5893999999998,-166.41060000000016
OVO704436MRE4@EME,SA Power Networks,OVO Energy,The EV Plan Telsa Giveaway,MARKET,2024-02-09 00:00:00+00:00,,2279.0,4011,398.94,1853.082,2252.022,-26.978000000000065
OVO704422MRE4@EME,Energex,OVO Energy,The EV Plan Telsa Giveaway,MARKET,2024-02-09 00:00:00+00:00,,1969.0,4613,311.1,1453.095,1764.1950000000002,-204.80499999999984
OVO704416MRE4@EME,Endeavour,OVO Energy,The EV Plan Telsa Giveaway,MARKET,2024-02-09 00:00:00+00:00,,2228.0,4913,300.12,1621.29,1921.4099999999999,-306.59000000000015
