,notice_date,region,type,reference
29,2010-09-23 19:28:59,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, Thursday, 23 September 2010"
574,2010-09-25 00:12:31,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, Saturday, 25 September 2010"
340,2010-09-25 12:58:06,SA,LOR2,Actual LOR2 SA Region - 25 Sep 2010
241,2010-09-30 18:36:31,NSW,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the NSW Region 30 September 2010
793,2010-10-05 10:02:20,SA,LOR2,Actual LOR2 South Australia Region - Tuesday 5 October 2010
1080,2010-10-07 07:45:46,SA,LOR2,Actual LOR2 South Australia Region - Thursday 7 October 2010
933,2010-10-13 06:53:55,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the SA Region 13 October 2010
864,2010-10-13 11:09:54,SA,LOR2,Actual LACK OF RESERVE LEVEL 2  (LOR2) in the SA Region 13 October 2010
720,2010-11-08 06:22:27,SA,LOR2,"Actual LOR2 South Australia Region - Monday, 8 November 2010"
647,2010-11-12 08:18:58,SA,LOR2,Actual LOR2 South Australia Region - Friday 12 November 2010
794,2010-11-14 07:52:27,SA,LOR2,Actual LOR2 SA Region - 14 Nov 2010
1081,2010-11-20 07:12:38,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 20 November 20"
934,2010-11-21 08:31:24,SA,LOR2,"Actual LOR2 South Australia Region - Sunday, 21 November 2010"
865,2010-11-22 11:55:57,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the South Australia Region - 22/11/2010
1151,2010-11-22 14:00:56,SA,LOR2,Actual declaration of LACK OF RESERVE LEVEL 2 (LOR2) in the South Australia Region - 22/11/2010
1009,2010-11-23 14:54:05,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the South Australia Region - 23/11/2010
721,2010-11-23 15:46:58,SA,LRC,Actual Low Reserve Condition (LRC) in South Australia Region - 23/11/2010
648,2010-11-27 05:09:52,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 27 November 2010"
795,2010-11-28 05:11:48,SA,LOR2,"Actual LOR2 South Australia Region - Sunday, 28 November 2010"
935,2010-11-29 05:42:42,SA,LOR2,"Actual LOR2 South Australia Region - Monday, 29 November 2010"
866,2010-12-01 07:18:30,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 01 December 2010"
1152,2010-12-02 06:42:40,SA,LOR2,Actual LOR2 South Australia Region - 2 December 2010
1010,2010-12-07 08:32:47,SA,LOR2,Actual LOR2 South Australia Region - 7 December 2010
722,2010-12-09 05:13:07,SA,LOR2,Actual LOR2 South Australia Region - 9 December 2010
622,2011-01-27 12:02:00,NSW,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the NSW Region Thursday 27 January 2011 
1058,2011-01-31 13:37:33,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the SA Region Monday 31 January 2011
234,2011-01-31 15:45:47,NSW,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the NSW Region Monday 31 January 2011
1130,2011-02-01 11:50:52,VIC,LOR1,"Actual LACK OF RESERVE LEVEL 1 (LOR1) in the VIC Region Tuesday, 1 February 2011"
988,2011-02-01 15:15:52,NSW,LOR1,"Actual declaration of LACK OF RESERVE LEVEL 1 (LOR1) in the NSW Region  Tuesday, 1 February 2011"
700,2011-02-01 16:29:04,SA,LOR2,Actual LOR2 South Australia Region - 1 February 2011
626,2011-02-02 08:21:34,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 2 February 2011"
772,2011-02-02 14:37:20,NSW,LOR1,"Actual - LACK OF RESERVE LEVEL 1 (LOR1) in the NSW Region - Wednesday, 2 February 2011"
46,2011-02-03 07:16:33,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 3 February 2011"
590,2011-02-03 14:58:17,NSW,LOR1,"Actual - LACK OF RESERVE LEVEL 1 (LOR1) in the NSW Region - Thursday, 3 February 2011"
358,2011-03-08 09:50:43,SA,LOR2,"Actual LOR2 South Australia Region - Tuesday, 8 March 2011"
279,2011-03-08 15:09:33,SA,LOR2,"Actual LOR2 South Australia Region - Tuesday, 8 March 2011"
201,2011-03-21 10:22:53,SA,LOR2,Actual LOR2 South Australia Region - Monday 21 March 2011
320,2011-03-25 05:20:28,SA,LOR2,Actual LOR2 South Australia Region - Friday 25 March 2011
257,2011-03-30 06:05:19,SA,LOR2,Actual LOR2 South Australia Region - Wed 30 March 2011
163,2011-04-17 15:53:00,SA,LOR2,Actual LOR2 South Australia Region - Sunday 17 April 2011
397,2011-05-08 06:22:34,SA,LOR2,Actual LOR2 South Australia Region - Sunday 8th May 2011
86,2011-05-09 15:03:07,SA,LOR2,Actual LOR2 South Australia Region - Monday 9th May 2011
475,2011-05-17 13:21:26,SA,LOR2,Actual LOR2 South Australia Region - Tuesday 17th May 2011
8,2011-05-20 14:42:03,SA,LOR2,Actual LOR2 South Australia Region - Friday 20 May 2011
554,2011-05-24 10:21:21,SA,LOR2,Actual LOR2 South Australia Region - Tuesday 24 May 2011
164,2011-06-09 09:12:50,SA,LOR2,Actual LOR2 South Australia Region - Thursday 9 June 2011
398,2011-06-28 07:31:41,SA,LOR2,Actual LOR2 South Australia Region - Tuesday 28 June 2011
87,2011-07-02 10:47:04,SA,LOR2,Actual LOR2 South Australia Region - Saturday 2 July 2011
451,2011-07-26 06:59:10,SA,LOR2,Actual LOR2 South Australia Region - Tues 27 July 2011.
142,2011-07-27 10:06:56,SA,LOR2,Actual LOR2 South Australia Region - Wednesday 27 July 2011.
531,2011-07-27 22:01:30,SA,LOR2,Actual LOR2 South Australia Region - Wednesday 27 July 2011.
63,2011-08-01 15:11:53,SA,LOR2,Actual LOR2 South Australia Region - Monday 01 August  2011.
606,2011-08-02 07:21:29,SA,LOR2,Actual LOR2 South Australia Region - Tuesday 02 August  2011.
376,2011-08-02 18:56:05,SA,LOR2,Actual LOR2 South Australia Region - Tuesday 02 August 2011.
296,2011-08-05 07:15:39,SA,LOR2,"Actual LOR2 South Australia Region - Friday, 5 August 2011."
218,2011-08-11 10:23:09,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 11 August 2011."
452,2011-08-31 09:43:24,SA,LOR2,"Actual Lack of Reserve Level 2 (LOR2) in the South Australia Region - Wednesday, 31 August 2011"
143,2011-09-01 10:32:48,SA,LOR2,"Actual Lack of Reserve Level 2 (LOR2) in the South Australia Region - Thursday, 01 September 2011"
532,2011-09-08 13:46:49,SA,LOR2,Actual LOR2 South Australia Region -  8 Sept 2011
64,2011-09-12 19:21:11,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the South Australia Region
607,2011-09-12 23:43:47,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the South Australia Region
377,2011-09-14 08:56:18,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the South Australia Region
297,2011-09-21 08:11:41,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 21 September 2011"
219,2011-09-28 16:18:32,SA,LOR2,Actual LOR2 South Australia Region -  28 September 2011
453,2011-09-29 07:05:49,SA,LOR2,Actual LOR2 South Australia Region -  29 September 2011
144,2011-10-03 08:59:33,SA,LOR2,Actual LOR2 South Australia Region -  03 October 2011
533,2011-10-04 14:11:45,SA,LOR2,Actual LOR2 South Australia Region -  4 October 2011
184,2011-10-17 09:21:41,SA,LOR2,Actual LOR2 South Australia Region -  17 October 2011
419,2011-10-18 12:42:41,SA,LOR2,Actual LOR2 South Australia Region -  18 October 2011
108,2011-10-19 08:32:37,SA,LOR2,Actual LOR2 South Australia Region -  19 October 2011
498,2011-10-19 23:36:34,SA,LOR2,Actual LOR2 South Australia Region -  19 October 2011
30,2011-10-20 05:34:03,SA,LOR2,Actual LOR2 South Australia Region -  20 October 2011
575,2011-11-08 11:50:27,NSW,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the NSW Region
341,2011-11-08 15:11:21,NSW,LOR2,Actual declaration of LACK OF RESERVE LEVEL 2 (LOR2) in the NSW Region
242,2011-11-09 13:20:57,NSW,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the NSW Region 9 November 2011
185,2011-11-09 15:13:03,NSW,LOR2,Actual declaration of LACK OF RESERVE LEVEL 2 (LOR2) in the NSW Region - 09 November 2011
109,2011-11-10 09:51:12,SA,LOR2,Actual LOR2 South Australia Region - 10 November 2011
499,2011-11-14 14:44:31,NSW,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the NSW Region - 14 Nov 2011
31,2011-11-15 08:05:26,SA,LOR2,"Actual LACK OF RESERVE LEVEL 2 (LOR2) in the South Australia Region - Tuesday, 15 November 2011"
342,2011-11-29 07:24:15,SA,LOR2,"Actual LACK OF RESERVE LEVEL 2 (LOR2) in the South Australia Region - Tuesday, 29 November 2011"
977,2012-01-01 15:26:11,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the South Australia Region
1104,2012-02-01 08:07:43,SA,LOR2,"Actual LACK OF RESERVE LEVEL 2 (LOR2) in the South Australia Region - Wednesday, 1 February 2012"
890,2012-02-09 06:56:29,SA,LOR2,"Actual LACK OF RESERVE LEVEL 2 (LOR2) in the South Australia Region - Thursday, 9 February 2012"
1059,2012-03-05 06:19:33,SA,LOR2,Actual LOR2 South Australia Region -  5 Mar 2012
844,2012-03-15 05:08:32,SA,LOR2,"Actual LACK OF RESERVE LEVEL 2 (LOR2) in the South Australia Region - Thursday, 15 March 2012"
1131,2012-03-15 14:11:08,SA,LOR2,"Actual LACK OF RESERVE LEVEL 2 (LOR2) in the South Australia Region - Thursday, 15 March 2012"
989,2012-03-16 16:30:49,SA,LOR2,"Actual LACK OF RESERVE LEVEL 2 (LOR2) in the South Australia Region - Friday, 16 March 2012"
627,2012-03-29 05:06:47,SA,LOR2,"Actual LACK OF RESERVE LEVEL 2 (LOR2) in the SA Region - Thursday, 29 March 2012"
773,2012-04-02 16:46:47,SA,LOR2,Actual LOR2 South Australia Region - 2nd April 2012
1060,2012-04-03 18:53:49,SA,LOR2,Actual LOR2 South Australia Region - 3rd April 2012
312,2012-04-04 19:17:03,SA,LOR2,Actual LOR2 South Australia Region - 4th April 2012
845,2012-04-11 11:00:16,SA,LOR2,Actual LOR2 South Australia Region - 11th April 2012
1132,2012-04-11 19:04:28,SA,LOR2,Actual LOR2 South Australia Region - 11th April 2012
990,2012-04-12 04:22:55,SA,LOR2,Actual LOR2 South Australia Region - 12th April 2012
701,2012-04-12 10:58:18,SA,LOR2,Actual LOR2 South Australia Region - 12th April 2012
628,2012-04-13 12:16:45,SA,LOR2,Actual LOR2 South Australia Region - 13th April 2012
774,2012-04-14 07:33:04,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 14th April 2012"
1061,2012-04-14 15:17:33,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 14th April 2012"
914,2012-04-14 19:02:20,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 14th April 2012"
846,2012-04-15 18:48:41,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 15th April 2012"
1133,2012-04-17 10:22:50,SA,LOR2,"Actual LOR2 South Australia Region - Tuesday, 17th April 2012"
991,2012-04-18 12:04:21,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 18 April 2012"
649,2012-05-16 07:40:37,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 16 May 2012"
796,2012-05-28 08:53:27,SA,LOR2,"Actual LOR2 South Australia Region - Monday, 28 May 2012"
1082,2012-05-29 09:31:06,SA,LOR2,Actual LOR2 South Australia Region - 29 May 2012
936,2012-05-30 14:05:32,SA,LOR2,Actual LOR2 South Australia Region - 29 May 2012
867,2012-06-04 08:23:30,SA,LOR2,Actual LOR2 South Australia Region - 4 June 2012
1153,2012-06-06 12:03:31,SA,LOR2,Actual LOR2 South Australia Region - 6 June 2012
1011,2012-06-18 11:39:23,SA,LOR2,"Actual LOR2 South Australia Region - Monday, 18 June 2012."
723,2012-06-18 22:03:04,SA,LOR2,"Actual LOR2 South Australia Region - Monday, 18 June 2012."
650,2012-06-19 08:34:58,SA,LOR2,"Actual LOR2 South Australia Region - Tuesday, 19 June 2012."
797,2012-06-26 09:39:33,SA,LOR2,"Actual LOR2 South Australia Region - Tuesday, 26 June 2012."
1083,2012-06-27 13:19:14,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 27 June 2012."
937,2012-06-27 23:41:17,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 27 June 2012."
868,2012-06-29 09:20:48,SA,LOR2,"Actual LOR2 South Australia Region - Friday, 29 June 2012."
1154,2012-06-29 18:19:08,SA,LOR2,"Actual LOR2 South Australia Region - Friday, 29 June 2012."
