,notice_date,region,type,reference
1050,2013-05-10 15:28:36,SA,LOR2,Actual LOR2 South Australia Region - 10 May 2013
765,2013-06-03 07:21:55,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia region. Monday 3 June 2013
691,2013-06-04 18:06:02,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia region. Tuesday 4 June 2013 (PDPASA)
746,2013-07-04 16:59:49,SA,LOR2,"Actual Lack Of Reserve Level 2 (LOR2) in the South Australia region. Thursday, 4 July 2013"
673,2013-08-20 18:54:49,SA,LOR1,Actual LOR1 South Australia  10 August 1830hrs - 1930hrs 
820,2013-08-20 19:44:52,SA,LOR1,Actual LOR1 South Australia  20 August 1830hrs - 1930hrs
1105,2013-08-20 19:47:26,SA,LOR1,Actual LOR1 South Australia  20 August 1930hrs - 2000hrs
961,2013-08-20 20:17:01,SA,LOR1,Actual LOR1 South Australia  20 August 2000hrs - 2030hrs
891,2013-08-31 05:34:50,SA,LOR2,Actual LOR2 South Australia Region - Saturday 31 Aug 2013
1175,2013-09-01 08:34:54,SA,LOR2,Actual LOR2 South Australia Region - Sun 1 Sep 2013
1034,2013-09-01 17:22:44,SA,LOR2,Actual LOR2 South Australia Region - Sun 1 Sep 2013
747,2013-09-08 12:20:53,SA,LOR2,"Actual LOR2 South Australia Region Sunday, 8 September 2013"
674,2013-09-08 19:29:15,SA,LOR2,"Actual LOR2 South Australia Region Sunday, 8 September 2013"
110,2013-10-01 17:28:49,SA,LOR2,Actual LOR2 South Australia Region - 01 October 2013
500,2013-11-22 09:05:23,SA,LOR2,Actual LOR2 South Australia Region - 22 November 2013
202,2013-12-14 07:37:49,SA,LOR2,Actual LOR2 South Australia Region - Saturday 14 December 2013
436,2014-01-14 18:50:57,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Vic Region Region 14 Jan 2014
127,2014-01-15 12:37:28,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Vic Region Region 15 Jan 2014
516,2014-01-15 12:40:52,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region Region 15 Jan 2014
48,2014-01-15 12:47:38,VIC,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the Vic Region Region 15 Jan 2014
592,2014-01-16 13:45:06,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Vic Region Region 16 Jan 2014
322,2014-02-01 17:57:23,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region Region 01 February 2014
259,2014-02-15 11:43:50,SA,LOR2,Actual LOR2 South Australia Region - Saturday 15 February 2014
166,2014-02-16 07:19:21,SA,LOR2,Actual LOR2 South Australia Region - Sun 16 Feb 2014
400,2014-03-16 04:36:43,TAS,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Tasmania Region 16/03/2014
939,2014-04-01 16:47:32,SA,LOR2,Actual LOR2 South Australia Region
870,2014-05-09 09:17:50,SA,LOR2,"Actual LOR2 South Australia Region - Friday, 9 May 2014."
1156,2014-05-10 08:17:35,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 10 May 2014."
1014,2014-05-11 06:09:05,SA,LOR2,Actual LOR2 South Australia Region - 11 May 2014.
726,2014-05-12 06:13:30,SA,LOR2,Actual LOR2 South Australia Region - 12 May 2014.
653,2014-05-14 14:07:46,SA,LOR2,Actual LOR2 South Australia Region - 14 May 2014.
800,2014-05-23 05:42:01,SA,LOR2,"Actual LOR2 South Australia Region - Friday, 23 May 2014"
1086,2014-05-24 06:08:21,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 24 May 2014"
940,2014-05-25 08:29:22,SA,LOR2,"Actual LOR2 South Australia Region - Sunday, 25 May 2014"
871,2014-05-30 14:05:30,SA,LOR2,Actual LOR2 South Australia Region - 30/05/2014
1157,2014-06-01 07:17:29,SA,LOR2,Actual LOR2 South Australia Region - 01/06/2014
1015,2014-06-07 11:12:23,SA,LOR2,Actual LOR2 South Australia Region - Saturday 7 June 2014
727,2014-06-07 14:31:12,SA,LOR2,Actual LOR2 South Australia Region - Saturday 7 June 2014
654,2014-06-15 06:20:02,SA,LOR2,Actual LOR2 South Australia Region - Sunday 15 June 2014
801,2014-07-05 10:04:57,SA,LOR2,Actual LOR2 South Australia Region - Sat 05/07/2014
1087,2014-07-05 16:27:26,SA,LOR2,Actual LOR2 South Australia Region - Sat 05/07/2014
941,2014-07-06 09:08:13,SA,LOR2,Actual LOR2 South Australia Region - Sun 06/07/2014
872,2014-07-12 06:54:40,SA,LOR2,Actual LOR2 South Australia Region - Saturday 12/07/2014
1158,2014-07-21 18:37:23,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region - 21 July 2014
702,2014-10-08 12:41:40,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 8 October 2014"
629,2014-10-22 08:49:41,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 22 October 2014"
775,2014-10-23 08:08:36,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 23 October 2014"
837,2014-11-29 08:15:57,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 29 November 2014"
1123,2014-11-30 06:59:23,SA,LOR2,"Actual LOR2 South Australia Region - Sunday, 30 November 2014"
223,2015-01-02 19:48:41,SA,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the SA Region.
32,2015-02-07 16:34:28,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 7 February 2015"
576,2015-02-13 11:09:42,SA,LOR2,"Actual LOR2 South Australia Region - Friday, 13 February 2015"
343,2015-02-20 05:16:37,SA,LOR2,"Actual LOR2 South Australia Region - Friday, 20 February 2015"
821,2015-05-06 08:13:55,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 6 May 2015"
1106,2015-05-06 13:09:09,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 6 May 2015"
962,2015-05-06 17:44:04,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 6 May 2015"
892,2015-05-07 05:34:47,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 7 May 2015"
1176,2015-05-08 05:39:36,SA,LOR2,"Actual LOR2 South Australia Region - Friday, 8 May 2015"
1035,2015-05-11 06:54:27,SA,LOR2,Actual LOR2 South Australia Region - Mon 11 May 2015
360,2015-06-29 18:39:48,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region 29/06/15  
281,2015-07-13 06:26:12,SA,LOR2,"Actual LOR2 South Australia Region - Monday, 13 July 2015"
203,2015-07-14 08:16:27,SA,LOR2,"Actual LOR2 South Australia Region - Tuesday, 14 July 2015"
437,2015-07-15 07:13:40,SA,LOR2,Actual LOR2 South Australia Region - 15/07/2015
128,2015-07-16 06:33:27,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 16 July 2015"
517,2015-07-17 06:01:35,SA,LOR2,"Actual LOR2 South Australia Region - Friday, 17 July 2015"
49,2015-07-18 06:03:42,SA,LOR2,Actual LOR2 South Australia Region - Sat 18 July 2015
593,2015-07-27 18:14:42,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region 27/07/15
361,2015-07-28 08:07:51,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region - 28/07/15
282,2015-07-28 18:14:39,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region - 28/07/15
204,2015-08-04 14:08:25,SA,LOR2,Actual LOR2 South Australia Region - Tues 4 Aug 2015
438,2015-08-04 16:15:28,SA,LOR2,Actual LOR2 South Australia Region - Tues 4 Aug 2015
129,2015-08-06 13:23:19,SA,LOR2,Actual LOR2 South Australia Region - 6/08/15
518,2015-08-11 14:14:32,SA,LOR2,"Actual LOR2 South Australia Region - Tuesday, 11 August 2015"
50,2015-08-13 14:11:48,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 13 August 2015"
594,2015-08-30 19:16:12,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region 30/08/15
362,2015-08-30 19:44:04,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region 30/08/15
89,2015-10-08 07:17:32,SA,LOR2,Actual LOR2 South Australia Region - Thurs 8 Oct 2015
478,2015-10-11 11:23:29,SA,LOR2,Actual LOR2 South Australia Region - Sunday 11 Oct 2015
11,2015-10-15 17:55:45,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 15 October 2015"
557,2015-10-15 23:39:09,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 15 October 2015"
323,2015-10-18 09:15:33,SA,LOR2,"Actual LOR2 South Australia Region - Sunday, 18 October 2015"
260,2015-10-19 08:49:26,SA,LOR2,"Actual LOR2 South Australia Region - Monday, 19 October 2015"
167,2015-10-20 04:56:10,SA,LOR2,Actual LOR2 South Australia Region -  20 October 2015
401,2015-10-20 16:20:41,SA,LOR2,Actual LOR2 South Australia Region -  20 October 2015
90,2015-10-21 11:34:19,SA,LOR2,Actual LOR2 South Australia Region -  21 October 2015
479,2015-10-21 18:55:00,SA,LOR2,Actual LOR2 South Australia Region -  21 October 2015
12,2015-10-22 05:31:52,SA,LOR2,Actual LOR2 South Australia Region -  22 October 2015
558,2015-10-23 10:18:47,SA,LOR2,Actual LOR2 South Australia Region -  23 October 2015
324,2015-10-24 08:14:08,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 24 October 2015"
261,2015-10-24 12:43:21,SA,LOR2,"Actual LOR2 South Australia Region - Saturday, 24 October 2015"
168,2015-10-25 19:03:48,SA,LOR2,"Actual LOR2 South Australia Region - Sunday, 25 October 2015"
402,2015-10-29 00:50:13,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 29 October 2015"
91,2015-10-29 07:11:39,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 29 October 2015"
480,2015-11-01 19:22:53,SA,LOR2,"Actual LOR2 South Australia Region - Sunday, 1 November 2015"
13,2015-11-05 21:07:58,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 5 November 2015"
1016,2015-11-07 06:13:38,SA,LOR2,Actual LOR2 South Australia Region - Sat 7th Nov 2015
728,2015-11-10 09:52:23,SA,LOR2,Actual LOR2 South Australia Region - 10 November 2015
655,2015-11-19 16:19:53,NSW,LOR1,Actual Lack of Reserve Level 1 (LOR1) in the NSW Region.
802,2015-11-20 13:13:42,NSW,LOR1,Actual Lack of Reserve Level 1 (LOR1) in the NSW Region.
1088,2015-11-20 15:46:50,NSW,LOR2,Actual Lack of Reserve Level 2 (LOR2) in the NSW Region.
942,2015-11-20 16:05:36,NSW,LOR2,Actual Lack of Reserve Level 2 (LOR2) in the NSW Region.
873,2015-11-20 17:12:15,NSW,LOR1,Actual Lack of Reserve Level 1 (LOR1) in the NSW Region.
1062,2015-12-14 15:55:49,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region Region 14 December 2015
915,2015-12-17 16:03:56,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region Region 17 December 2015
847,2015-12-18 17:02:03,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region Region 18 December 2015
1134,2016-01-14 11:12:26,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region.- 14/01/16
992,2016-01-14 13:47:50,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region - 14/01/16 
559,2016-07-06 18:15:46,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region - 06 July 2016
325,2016-07-07 18:12:30,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region - 07 July 2016
262,2016-07-08 18:35:57,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region - 08 July 2016
169,2016-07-12 19:04:33,SA,LOR1,"Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region. Tuesday, 12 July 2016."
403,2016-07-13 18:04:37,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region. 13/07/16
92,2016-07-14 17:46:03,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region. 14/07/16
481,2016-08-10 07:52:50,SA,LOR2,Actual LOR2 South Australia Region
14,2016-08-10 16:30:44,SA,LOR2,Actual LOR2 South Australia Region
560,2016-08-31 07:31:04,SA,LOR2,Actual LOR2 South Australia Region - 31 Aug 2016
326,2016-09-01 07:16:31,SA,LOR2,Actual LOR2 South Australia Region - 01 Sept 2016
283,2016-09-02 08:19:05,SA,LOR2,Actual LOR2 South Australia Region - 02 Sept 2016
205,2016-09-06 07:19:00,SA,LOR2,Actual LOR2 South Australia Region - 06 Sept 2016
439,2016-09-08 02:26:33,SA,LOR2,Actual LOR2 South Australia Region - 08 Sept 2016
130,2016-09-09 07:08:57,SA,LOR2,Actual LOR2 South Australia Region - 09 Sept 2016
519,2016-09-09 18:51:14,SA,LOR2,Actual LOR2 South Australia Region - 09 Sept 2016
51,2016-09-13 08:46:34,SA,LOR2,Actual LOR2 South Australia Region - 13 Sept 16
595,2016-09-16 07:14:30,SA,LOR2,Actual LOR2 South Australia Region - 16 Sept 16
457,2016-10-18 08:48:37,SA,LOR2,Actual LOR2 South Australia Region - 18 October 2016
148,2016-10-18 17:51:15,SA,LOR2,Actual LOR2 South Australia Region - 18 October 2016
537,2016-10-20 20:59:40,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 20 October 2016"
69,2016-11-08 06:28:49,SA,LOR2,Actual LOR2 South Australia Region - 8/11/2016
612,2016-11-22 07:23:33,SA,LOR2,Actual LOR2 South Australia Region - 22 Nov 2016
979,2016-11-30 07:48:43,SA,LOR2,Actual LOR2 South Australia Region - 30/11/16
908,2016-12-14 06:31:17,SA,LOR2,"Actual LOR2 South Australia Region - Wednesday, 14 December 2016"
1193,2016-12-22 06:08:22,SA,LOR2,Actual LOR2 South Australia Region - 22/12/2016
1051,2016-12-23 07:26:01,SA,LOR2,Actual LOR2 South Australia Region - 23/12/2016
1017,2017-01-23 05:53:13,SA,LOR2,Actual LOR2 South Australia Region - 23/1/2017
703,2017-02-06 13:46:45,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region.
630,2017-02-08 16:13:52,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region.
776,2017-02-08 17:13:08,SA,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the South Australia Region 
1063,2017-02-08 18:11:12,SA,LOR3,"Actual Lack Of Reserve Level 3 (LOR3) in the South Australia Region - Wednesday, 8 February 2017."
916,2017-02-08 20:01:01,SA,LOR2,"Actual Lack Of Reserve Level 2 (LOR2) in the South Australia Region Wednesday, 8 February 2017"
848,2017-02-08 20:18:09,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region.
1135,2017-02-09 14:39:54,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region- 9/02/17
993,2017-02-09 19:20:35,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region. PD PASA.
704,2017-02-10 13:00:01,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region- 10-02-2017
631,2017-02-10 16:44:29,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region - 10-02-2017
777,2017-02-10 17:20:49,NSW,LOR3,Actual Lack Of Reserve Level 3 (LOR3) in the NSW Region- 10-02-2017
1064,2017-02-10 18:38:15,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region - 10-02-2017
917,2017-02-11 12:19:31,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region - 11-02-2017
849,2017-02-12 16:16:07,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Qld Region - 12/02/17
1136,2017-02-12 17:08:29,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the Qld Region - 12/02/17
244,2017-02-27 05:14:58,SA,LOR2,Actual LOR2 South Australia Region - 23/1/2017
187,2017-02-28 15:34:50,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region.- 28/02/17
421,2017-03-01 15:35:50,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region.- 01/03/17
111,2017-03-03 16:15:57,SA,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the SA Region - 03/03/17 
501,2017-03-20 13:00:22,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the South Australia Region.- 20/03/2017
766,2017-11-21 16:21:26,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Vic Region.- 21/11/2017
363,2017-11-29 16:55:05,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Vic Region.- 29/11/2017
284,2017-12-14 16:07:29,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region.- 14/12/2017
382,2018-01-18 16:05:50,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the VIC Region - 18/01/2018
302,2018-01-18 17:05:48,VIC,LOR2,"Actual Lack Of Reserve Level 2 (LOR2) in the VIC Region - Thursday, 18 January 2018"
224,2018-01-19 14:02:23,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the VIC Region - 19/01/2018
458,2018-02-07 15:54:59,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the VIC Region- 7/02/2018
149,2018-02-07 17:16:42,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region.- 7/02/2018
538,2018-02-14 16:07:39,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region.- 14/02/2018
33,2018-04-10 17:48:29,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region.- 10/04/2018
577,2018-04-19 17:57:40,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region.- 19/04/18
994,2018-06-04 17:34:43,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 04/06/2018
705,2018-06-05 16:26:17,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 05/06/2018
632,2018-06-05 18:27:48,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region - 5/06/2018 
778,2018-06-05 18:34:56,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 05/06/2018
1065,2018-06-06 17:12:04,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 06/06/2018
918,2018-06-07 17:11:30,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 07/06/2018
850,2018-06-07 17:47:51,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region - 7/06/2018
1137,2018-06-08 16:36:49,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 08/06/2018
995,2018-06-08 17:44:18,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region - 08/06/2018
706,2018-06-09 17:08:10,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 09/06/2018
748,2018-08-21 08:10:04,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 21/08/2018
675,2018-08-27 17:36:10,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region.- 27/08/2018
822,2018-08-28 18:43:30,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region.- 28/08/2018
1107,2018-09-03 18:11:21,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 03/09/2018
692,2018-11-06 16:41:04,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 06/11/2018
70,2019-01-17 15:49:01,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 17/01/2019
613,2019-01-24 15:21:33,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the VIC region - 24/01/2019
383,2019-01-24 16:22:32,VIC,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the VIC region - 24/01/2019
303,2019-01-24 18:06:58,SA,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the SA region - 24/01/2019
225,2019-01-24 18:14:44,VIC,LOR3,Actual Lack Of Reserve Level 3 (LOR3) in the Vic region - 24/01/2019
459,2019-01-25 08:21:03,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the VIC region - 25/01/2019
150,2019-01-25 09:50:50,VIC,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the Vic region - 25/01/2019
539,2019-01-25 11:04:54,VIC,LOR3,Actual Lack Of Reserve Level 3 (LOR3) in the Vic region - 25/01/2019
344,2019-01-30 14:16:38,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Vic region - 30/01/2019
245,2019-01-31 15:04:12,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region
188,2019-03-01 16:41:13,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Vic region - 01/03/2019
206,2019-10-31 14:43:33,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 31/10/2019
422,2019-12-06 17:16:24,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Qld region - 06/12/2019
112,2019-12-20 17:19:14,VIC,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the Vic region - 20/12/2019
71,2019-12-27 19:17:34,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA region - 27/12/2019
614,2019-12-30 16:27:49,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the VIC region - 30/12/2019
384,2020-01-04 16:05:21,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 04/01/2020
633,2020-01-22 16:03:19,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 22/01/2020
779,2020-01-23 13:34:03,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 23/01/2020
1066,2020-01-23 14:37:41,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 23/01/2020
919,2020-01-28 16:44:04,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 28/01/2020
851,2020-01-30 17:12:18,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Vic region - 30/01/2020
1138,2020-01-30 18:32:10,VIC,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the VIC region - 30/01/2020
996,2020-01-30 18:32:31,SA,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the SA region - 30/01/2020
707,2020-01-31 14:16:13,VIC,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the VIC region - 31/01/2020
634,2020-01-31 15:01:50,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 31/01/2020
780,2020-02-01 13:50:57,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 01/02/2020
1067,2020-02-01 17:03:16,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 01/02/2020
838,2020-08-04 08:49:53,TAS,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Tasmania region - 04/08/2020
1124,2020-08-10 08:00:09,TAS,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Tasmania region - 10/08/2020
980,2020-08-11 07:39:44,TAS,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Tasmania region - 11/08/2020
440,2020-08-25 18:09:22,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 25/08/2020
131,2020-08-26 18:38:21,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 26/08/2020
920,2020-10-12 17:52:22,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 12/10/2020
852,2020-10-23 16:27:50,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 23/10/2020
263,2020-10-26 17:41:06,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 26/10/2020
729,2020-11-16 15:26:58,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 16/11/2020
656,2020-11-28 17:01:48,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 28/11/2020
803,2020-11-29 16:59:41,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 29/11/2020
1089,2020-12-01 17:32:46,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 01/12/2020
502,2020-12-10 13:52:09,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 10/12/2020
34,2020-12-10 22:44:57,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 10/12/2020
578,2020-12-10 22:49:27,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 10/12/2020
345,2020-12-11 07:18:00,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 11/12/2020
246,2020-12-11 08:21:46,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 11/12/2020
189,2020-12-17 14:35:21,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 17/12/2020
423,2020-12-17 17:19:09,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 17/12/2020
963,2020-12-18 09:08:00,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region -18/12/2020
893,2020-12-18 14:38:36,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region -18/12/2020
520,2021-01-14 16:50:21,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 14/01/2021
52,2021-01-24 17:44:05,,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA  region - 24 Jan 2021
1139,2021-03-12 18:45:25,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA region - 12/03/2021
997,2021-03-12 19:47:00,SA,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the SA region - 12/03/2021
909,2021-04-19 18:13:35,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 19/04/2021
1194,2021-04-21 07:44:11,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Victoria region - 21/04/2021
1052,2021-04-21 18:14:59,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Victoria region - 21/04/2021
767,2021-04-26 18:14:13,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 26/04/2021
693,2021-05-03 17:17:45,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 03/05/2021
304,2021-05-19 08:05:25,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 19/05/2021
226,2021-05-19 18:39:59,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 19/05/2021
460,2021-05-20 07:14:19,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 20/05/2021
151,2021-05-21 16:40:04,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 21/05/2021
540,2021-05-21 17:11:33,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 21/05/2021
113,2021-05-25 16:44:10,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the Qld region - 25/05/2021
